Criteria,Automated_Weight
logFC.eueVSctrl,0.30437353367827497
logFC.ecpVSctrl,0.25586563321010886
logFC.ecoVSctrl,0.2182025485697153
logFC.ecpaVSctrl,0.2215582845419009
