Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
64,POSTN,Prv-CCL19,-4.50266187356673,-4.73047630064253,-4.71316488123998,-2.676865698189,8.47097463930938,1.45188947973428e-248,0.6156688415318232,PASS,
66,IL1RN,Mɸ4-infiltrated,-3.26158290122081,-2.20959856313192,-3.90868643460589,-0.895910011606046,8.78001968180653,9.39262120296902e-94,0.6142590148639038,PASS,
69,HOXA10,Prv-CCL19,-3.42893371207896,-2.46068106390978,-2.59518413990861,-0.575702189173435,8.55391636228882,4.83477693337734e-96,0.6121503369622406,PASS,
74,CGNL1,EC-aPCV,-2.05106801788852,-2.4445434352511,-2.43114492318127,-0.038631774339796,7.84774032978908,6.03623875137412e-18,0.6088147173539719,PASS,
77,SPON2,Prv-CCL19,-1.98542956704515,-3.17176550664827,-3.20494393560232,-0.930373798292769,8.65525465266224,9.430074089616111e-112,0.6072682774228928,PASS,
79,RBP1,EC-aPCV,-1.7739306434237,-3.05635492643539,-3.19769758820518,-0.787714040995702,7.88582946608452,4.54372489757373e-41,0.6068120810025578,PASS,
80,CD53,EC-PCV,-2.45098537640293,-2.36622540973634,-2.34795378204667,-0.15092782306159,7.93939633322425,1.12019721674618e-35,0.6065770702144601,PASS,
82,LEPR,EC-aPCV,-1.47969031610527,-2.65700678922301,-2.40081227898944,-0.0484692272527473,8.41635174426433,8.88287330079994e-52,0.604527852852838,PASS,
83,RBP1,Prv-CCL19,-0.827051593766847,-3.75434668482005,-3.51698747170226,-1.07015728151957,8.89657338415102,7.77846696615812e-164,0.6010146967575872,PASS,
86,SFRP4,Prv-CCL19,-1.93119552111843,-2.85710289719189,-2.67686283754664,-0.622368134159107,8.63998319503852,3.23995537096002e-65,0.5994907495945765,PASS,
89,BASP1,EC-tip,-4.25510555212508,-1.88203697867788,-2.42722382587802,-0.604091545110161,7.90958501639415,2.59187804183457e-292,0.5981213513762432,PASS,
91,VCAN,Prv-CCL19,-3.14038989371817,-1.91593860670934,-2.90350652191675,-0.531835278788613,8.54167532280154,2.42938363339961e-78,0.5977338139084487,PASS,
97,CD248,Prv-CCL19,-2.473710022521,-2.04083902753258,-2.36533332436751,-0.206867312548442,8.48114469398915,3.38129764985795e-75,0.5945805225620198,PASS,
98,RORB,Prv-CCL19,-1.8594419832938,-2.25314908447811,-2.32588648503723,-0.115978119210895,8.3051040603752,2.61795699752026e-62,0.594407757661342,PASS,
99,PAMR1,Prv-CCL19,-2.06587831767556,-2.64820198998578,-2.83249220965831,-0.705713328833554,8.30862945704343,2.80436595843475e-81,0.5942912495845245,PASS,
101,RGS4,Prv-CCL19,-2.63849994600471,-3.55123640787846,-3.69662049360653,-1.72194108707013,8.35711290270865,1.81404718354223e-160,0.5937391300500373,PASS,
102,PROM1,EC-tip,-2.98831047503446,-2.28499242308097,-2.7645209531823,-0.752517519173546,7.32317892986736,1.56932149145861e-187,0.5937291042714917,PASS,
103,CD200,EC-aPCV,-2.57931875994077,-2.08701905197142,-2.00030027201436,-0.112054851696537,8.01103158046216,7.374349374601389e-18,0.5936882409845793,PASS,
111,CD53,EC-aPCV,-2.24479220448445,-2.30205548493792,-2.36046164041745,-0.432373678345015,7.83782941930517,1.78973260515954e-15,0.588944573660038,PASS,
112,FAP,Prv-CCL19,-2.88990637079979,-3.03210000928888,-2.89003683455962,-1.30239013277577,8.30436908715172,7.12425112251214e-99,0.5886658939369902,PASS,
113,PLXDC1,Prv-CCL19,-3.32423014263219,-2.32028351478138,-2.40854191854768,-0.82050635608512,8.49765672518047,3.39953383258269e-81,0.5881489646712551,PASS,
115,HOXA11,Prv-CCL19,-2.17322904815398,-2.45933176845204,-2.34309221811553,-0.530494457589019,8.36624231370653,2.48625789301827e-67,0.5876260355634311,PASS,
117,AFAP1L2,Prv-CCL19,-1.54779955930974,-2.29561052232289,-2.28625679853991,-0.208594778340408,8.30367109435982,6.682405691192801e-61,0.5858178579207385,PASS,
120,SLPI,dS2,-2.01288203781726,-2.09856418275154,-2.04827272235787,-0.143070415742563,7.16490547614811,1.5901482513202e-183,0.5851634664667941,PASS,
122,SCGB2A1,cDC2,-2.40775914657408,-2.19629583998215,-2.14989209785244,-0.408557179060739,6.83156409660035,4.275045705069531e-46,0.5846311220895882,PASS,
126,ITIH5,EC-aPCV,-0.92023199242868,-2.25866166857653,-2.28435227345798,-0.0006996997740909,7.90301381299739,9.61098346470347e-29,0.5830724008217226,PASS,
128,CTGF,EC-aPCV,-0.10064628581878,-2.95040712112598,-2.82330431199065,-0.385392378481788,8.80626669306066,7.091579610180391e-88,0.5824672317625437,PASS,
133,FNDC1,Prv-CCL19,-2.37201091280232,-1.89305562588206,-1.8298280386774,-0.0984472449319801,8.33494076813994,2.31457541567561e-45,0.5817370105062798,PASS,
141,COL4A2,Prv-CCL19,-2.17145875316046,-1.80813994720782,-2.10844477516955,-0.147573989520436,9.7107543445204,2.43852225148701e-81,0.5799270857210963,PASS,
143,IMPA2,Prv-CCL19,-2.68784315478176,-2.43985139058101,-2.15652273697764,-0.754108341510289,8.47147103172069,4.91907601393661e-74,0.5795209467677177,PASS,
147,ECM1,Prv-CCL19,-2.62541235034707,-1.99549171663472,-2.21796254257755,-0.500898471436306,8.36691896195811,1.14744243157142e-57,0.5786593718314775,PASS,
148,CD53,EC-tip,-2.55699929609377,-1.81182368280722,-1.63152805792259,-0.0987985986120376,7.33527947640054,4.10430325112348e-162,0.5778646617175132,PASS,
150,MME,EC-aPCV,-1.87371765838712,-2.14402236705619,-2.19951230952708,-0.383905845703911,7.83254923824824,1.62030875823677e-13,0.576704706287265,PASS,
151,LOXL2,Prv-CCL19,-1.81550609532508,-1.96619360613715,-2.0548534250919,-0.194668995606749,8.34885973358442,1.89346039764022e-54,0.576091534404494,PASS,
158,ADAMTSL1,EC-aPCV,-2.43694534877513,-2.1058500703242,-1.95680320045076,-0.479421101763442,8.01594978148506,2.64716831791123e-12,0.5745291653755252,PASS,
160,GEM,cDC2,-3.64244151489986,-1.88745682381884,-1.64163829677623,-0.560888626365959,7.06234382830558,5.421785724415809e-28,0.5742334222016436,PASS,
