Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
3022,GABPB1-AS1,B cell,1.24591360043884,1.66057005624606,1.23014598459448,1.22908633016828,9.10493150806961,1.62116934944673e-15,0.48489231160460344,PASS,
3023,LAMTOR2,cDC2,-0.448377874482546,-0.174668038067642,-0.711704063685202,-0.333207613681282,8.2174100259446,1.08570356067393e-05,0.48489123375089627,PASS,
3024,MYC,dS2,0.497537218343024,1.8872348378157,0.479573056610699,0.957527597642074,7.77581544655811,2.67739362743463e-77,0.4848844257532146,PASS,
3025,SIGLEC12,cDC2,-1.52229346772994,-0.223524643222143,-1.43614819538064,-0.774515530230441,6.83522935163237,4.04043596535603e-10,0.48480410323234774,PASS,
3026,IGHG3,Treg,0.768865731742701,0.343201224018196,1.10819784367238,0.574227399001831,8.37441315970569,0.0006073996084239,0.484789216551269,PASS,
3027,HMGB2,EC-tip,1.92749024461197,0.401793236250253,0.567508163788908,0.691680636038427,8.06572137946575,6.96520903559199e-97,0.48478269675663366,PASS,
3028,UAP1,Mɸ4-infiltrated,-1.45985044858222,-1.21649759640485,-1.5681299268745,-1.19180800536444,7.46676263464051,2.99645753920181e-31,0.4847511580717985,PASS,
3029,LRP1,cDC2,1.52793449174334,0.688839851333135,1.67173174852104,1.02512379513739,7.07848658654261,8.80105281912989e-10,0.48474044302750346,PASS,
3030,ERGIC1,Mɸ4-infiltrated,-0.893714458829473,-1.21257300048692,-1.17141515043162,-0.961428968360471,7.89037973378328,6.59703527141897e-26,0.4847203813790694,PASS,
3031,CST3,Mɸ1-LYVE1,0.121138825086495,0.67590136557618,0.281880944489685,0.348859835743211,11.7953079812747,2.68063201622784e-24,0.4847189328328691,PASS,
3032,NPY1R,Prv-CCL19,0.69414284123195,2.49428684657491,2.33236737171569,1.7701429951059,8.70398343692728,5.29833001071258e-29,0.4846444583138518,PASS,
3033,RGS9,Treg,-0.217837726264083,-0.714550438284342,-0.468336491759086,-0.435601044202284,8.34271493457436,0.0039381294515207,0.4846208993323738,PASS,
3034,LPCAT1,Mɸ4-infiltrated,-1.246176768232,-1.19294030007644,-1.31851854399913,-1.06970809107571,7.6985181946012,4.47096814787981e-24,0.484619524477113,PASS,
3035,SH3TC1,cDC2,1.34356271409006,0.117558666270415,0.638845397661313,0.481194070451027,6.9906483020692,2.18244063392547e-05,0.484609197266121,PASS,
3036,MACF1,Mɸ4-infiltrated,0.897341705064035,0.904859413410602,1.36852464394624,0.896351982700457,8.32081045296602,1.27268611284764e-28,0.48460049039656394,PASS,
3037,NNMT,cDC2,-0.343732170744787,-0.88867298438615,-0.241297841230497,-0.468643177562463,6.76905444721591,1.40730723133336e-05,0.4845986683996579,PASS,
3038,ESAM,EC-tip,-0.907069978797846,-0.634321890680632,-0.556868883440443,-0.569681914730943,8.90355388319589,7.852381541360189e-56,0.48459600621015964,PASS,
3039,HMGN1,cDC2,0.156830094476211,0.446291957537306,0.0669513967665417,0.212270963608765,9.19899101956864,3.63772956112557e-06,0.4845780801396192,PASS,
3040,LMO2,Mɸ4-infiltrated,1.27945849471726,1.49614871376824,2.06487879450643,1.40882843493653,7.90597551630506,2.85057575219207e-44,0.4845741752216161,PASS,
3041,VIM,cDC2,-0.418803396387488,-0.537482891158491,-0.296728392821392,-0.36240919968186,11.3445490602653,1.40602051109791e-05,0.48456145810868584,PASS,
3042,HLA-DQB1,B cell,-0.818596778250646,-0.482912879227082,-0.298935361202664,-0.423565535076854,10.3256577907665,5.26987112067242e-10,0.4845578246102964,PASS,
3043,ST3GAL4,B cell,1.01456362638699,0.0451484270565918,0.0657560388226985,0.232710289517007,8.29906682980424,4.50525800097087e-18,0.48454158106387113,PASS,
3044,RGS10,cDC2,-0.345670404064458,-0.0237995738696378,-0.435847667571507,-0.187305555693153,9.22274067083265,1.37302691809126e-05,0.48453042207265157,PASS,
3045,IKZF1,Mɸ4-infiltrated,0.244441034182387,0.697497269964485,1.36618363405259,0.681288733191386,7.98242249318061,6.66779208522617e-26,0.48450032909728596,PASS,
3046,TTLL4,Mɸ4-infiltrated,0.234850581930589,0.730911075109176,1.71119106292877,0.788057465407309,7.49026013155742,2.85203479661749e-31,0.4844921862221787,PASS,
3047,SIGIRR,EC-tip,-1.04846143296793,-0.676237040237441,-0.343115237546166,-0.559449916311995,7.89125631801186,1.63534053199344e-36,0.48449205602873063,PASS,
3048,ATP2B1,Mɸ4-infiltrated,-1.95105300410423,-1.35435647002661,-1.69477002650589,-1.39148930094902,8.62844169118746,7.49085666779743e-57,0.4844879267641313,PASS,
