Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
30,CXCL8,cDC2,4.34467124112718,2.20192793380999,3.331261056937,0.145693250037754,7.31162084233052,2.83266997835894e-28,0.6516919664109518,PASS,
32,KLF2,Prv-CCL19,2.48643044342732,3.04105851169242,3.07976562812875,0.0329021797409243,9.07033071371968,1.90755093787131e-39,0.6511882254757485,PASS,
33,GPX3,Prv-CCL19,3.11117783192162,3.43495707515624,3.24577323291972,0.747004247139885,8.92154249474131,7.83931965595609e-64,0.6507842484010709,PASS,
35,CCL21,Prv-CCL19,1.41910551808396,3.75676655336796,3.94447824050724,0.616853268783829,9.73017261623797,5.44968159132644e-47,0.6491947154837742,PASS,
39,FGF7,Prv-CCL19,2.20855946337272,3.60077416999974,3.1459757253828,0.596157822024722,9.15756249516957,2.02438276372444e-71,0.6431965267015566,PASS,
43,CDKN1A,EC-aPCV,2.18273473471956,3.38466072327685,3.44957110512185,0.745529136423038,8.7675491916312,7.126758930940719e-11,0.6352845053197601,PASS,
44,CLSTN2,Prv-CCL19,1.90996013764601,3.25567782784642,3.32921598116679,0.480744702320861,8.70128887204179,3.08300589253685e-65,0.6350910772462094,PASS,
45,CD36,Prv-CCL19,2.72204269072415,3.07891148514222,2.37516890365843,0.155991308339923,8.55953713262541,1.31915398184751e-34,0.6346792063134834,PASS,
46,APOLD1,EC-tip,2.00003660331899,2.81928085536587,3.01425333325792,0.0103286150738348,7.94175601710873,5.43098941664351e-134,0.6339479725675229,PASS,
50,CFH,EC-tip,0.787669982597189,3.35245007579477,3.14957793442931,0.0396685554531516,7.42517550379771,2.90457154924705e-206,0.6284030542545804,PASS,
53,FKBP5,Mɸ1-LYVE1,3.90720544961115,2.56692478728259,2.33308588870871,0.356896623980581,9.30840840560751,1.38087941566517e-208,0.6265534577566111,PASS,
54,ADAMTS1,EC-aPCV,1.48582263894276,3.97846716440815,3.30606561281662,0.93955466258541,9.66587657841726,6.52957165239759e-30,0.6256147938267335,PASS,
55,ANGPT1,Prv-CCL19,1.63383169170591,3.05908385704819,3.14527625524516,0.336430236792672,8.74743452365055,2.95114642389693e-66,0.6248958044249701,PASS,
56,MT1A,Prv-CCL19,4.44551605615413,2.66191929811127,2.05842376572246,0.515562111551385,8.65052974066494,2.10326420530823e-54,0.6229389463803672,PASS,
57,CHRDL1,Prv-CCL19,0.314099492290453,3.51551237763806,3.30121504205844,0.158401254847586,8.71385673993036,3.98605547596987e-90,0.621859567765739,PASS,
58,CYR61,EC-aPCV,2.65153158030646,2.87128401586904,2.32982939349897,0.252024540879881,8.40148600300734,1.0351741586806e-09,0.6216854404239438,PASS,
60,ANGPTL1,Prv-CCL19,2.09790303413343,3.97119351162053,3.90037849218113,1.47551081730454,9.32704696065873,2.02737623614906e-75,0.6204632312226155,PASS,
63,CLU,Prv-CCL19,1.97994106563026,2.45285828264475,3.03127212802556,0.146671113929131,8.89920228766792,2.18974042841959e-57,0.6167551199926938,PASS,
65,NFIB,Prv-CCL19,1.73562925449502,3.04154684584546,2.99483046273333,0.501626396283283,8.99611880044349,3.24511304545265e-73,0.615345636221398,PASS,
67,APOLD1,EC-PCV,1.9122762103776,3.18714614322154,2.79315103703111,0.603156629168248,8.46919604852327,4.89555972242957e-14,0.6138563611811985,PASS,
68,AKAP12,EC-tip,4.4380883186999,2.25388973602588,1.95621462286566,0.370071778134692,7.8953637228346,3.02980529776512e-230,0.61277308390255,PASS,
70,RRAD,Prv-CCL19,2.20741611026677,3.49641589974673,3.88909171701961,1.38354548279699,9.36569415239975,1.31261698663287e-61,0.6119450065705896,PASS,
71,RSPO3,dS2,2.10545507551288,3.35756219526292,2.91241124241907,0.876871806289957,7.42993493523231,2.78191404685569e-266,0.6118723616865585,PASS,
72,APOLD1,EC-aPCV,1.99425130002763,2.86493996455669,2.43919446318772,0.311343541136386,8.60413303635104,8.527123530300841e-15,0.6100683588057761,PASS,
73,FABP5,Prv-CCL19,3.19543373410186,2.99181420562767,2.42272195171873,0.837009708341265,8.75576529554032,8.85312252339843e-34,0.6090307879637266,PASS,
75,SRGAP1,cDC2,3.96820775768284,2.57434975591573,2.55179587508851,0.858525660278849,7.13459581823993,1.90199555263867e-36,0.6086648931082678,PASS,
76,AREG,Mɸ1-LYVE1,1.53338712754438,3.06485841182807,2.02546163054009,0.09231627313799,7.41068380407046,2.28861847168082e-52,0.6074158721395916,PASS,
78,CCL4L2,cDC2,3.00690004660806,2.15462546194955,2.49784253459338,0.264033412842916,7.45949331463811,3.05530372005013e-12,0.6070250763063246,PASS,
81,AQP1,EC-PCV,2.01376950336,3.10414696699445,3.31293726845171,0.959057575164884,10.3221328411745,2.18230094976799e-56,0.606442609291332,PASS,
84,ANGPTL1,dS2,2.49870265056624,1.97629421454304,3.20040929438966,0.437372816606538,7.5632457446317,2.01945120295739e-216,0.6005424940225533,PASS,
85,CFH,EC-aPCV,1.32043548509365,3.25980791151936,3.13079591440576,0.840117116108741,8.40050652850559,3.50574645696328e-18,0.5998615628383247,PASS,
87,AKR1C1,EC-PCV,1.15116054251458,2.78440285512371,2.81294087900085,0.34764472053718,8.32853998747011,1.72523522021998e-13,0.5988217836892369,PASS,
88,NEXN,Prv-CCL19,2.63426363236273,2.51675811321348,2.70111593552707,0.674072450991995,9.34874247250298,2.08623839762403e-48,0.598518297660547,PASS,
90,VCAN,Mɸ1-LYVE1,0.407020763536693,2.36395411156046,4.44905630062639,0.470776385162106,8.34256326389504,3.738442182498589e-229,0.5979015638009068,PASS,
92,CLEC10A,Mɸ4-infiltrated,2.34601996596768,3.22265085934122,3.10844013160377,1.20621471562263,8.4169716148217,8.69789313489431e-97,0.596999313740723,PASS,
93,TAGLN,EC-tip,0.547202891775446,2.66928285505933,2.78737030238725,0.0327983015822931,7.43622925203936,4.84740992229033e-128,0.5968818860584136,PASS,
